id,名前,規格,入値,在庫数,小計
104,オリブ油,100ml,200,1,200
185,オロナインＨ軟膏,50g,390,2,780
82,オロナミンC,120m,78,29,2262
245,改源かぜカプセル,30カプセル,653,1,653
152,カイベールＣ,48錠,320,1,320
403,加香ヒマシ油,20ｍｌ,166,1,166
109,カコナール葛根湯顆粒〈満量処方〉,12包,580,1,580
217,カゴメ　野菜一日これ一本　缶,190g,129,31,3999
147,ガスター　10　Ｓ錠,6錠,646,2,1292
150,ガスピタン,36錠,1190,1,1190
337,カットメン,50g,150,2,300
308,カット綿　ＮＯ．4,500g,685,1,685
623,かっぱえびせん塩分35％カット,75g,94,5,470
349,カプセルＮｏ．0,50個,293,2,586
348,カプセルＮo．00,30個,293,2,586
350,カプセルＮｏ．1,50個,293,2,586
18,紙バン,10巻,22,4,88
562,ガム・お口/のど殺菌スプレー,15ml,514,1,514
563,ガム歯周プロケア　ソフトピックカーブ型,30本,226,2,452
544,カルケットサンド　ごま,16枚,196,3,588
543,カルケットサンド　バニラミルク,16枚,196,3,588
131,カロリーメイトゼリー　（アップル味）,215g,144,4,576
420,眼帯セット,1個,195,2,390
135,キャビロン　ハンドモイスチャーローション,60mi,807,1,807
196,キャビロン　ハンドモイスチャーローション　300ml,300ml,1695,1,1695
195,キャビロンハンドモイスチャーローション　500ｍｌ,500ｍｌ,2964,1,2964
423,キャベジンコーワα,100錠,771,1,771
356,キュアレアα,8g,639,2,1278
363,救急セットＣ,1個,1040,1,1040
364,救急セットＢＯＸ型,1個,1820,1,1820
153,救心,30粒,1540,1,1540
583,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ,ピンク M,878,2,1756
584,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ,ピンク L,878,2,1756
585,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ,ピンク LL,878,1,878
586,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ,ベージュ M,878,2,1756
587,吸水ｼｮｰﾂ ﾚｷﾞｭﾗｰ,ﾍﾞｰｼﾞｭ LL,878,1,878
580,吸水ﾎﾞｸｻｰﾊﾟﾝﾂ　ｱｸﾁｨﾌﾞ　for men,ﾌﾞﾗｯｸ　M,1003,1,1003
581,吸水ﾎﾞｸｻｰﾊﾟﾝﾂ　ｱｸﾁｨﾌﾞ　for men,ﾌﾞﾗｯｸ　L,1003,2,2006
582,吸水ﾎﾞｸｻｰﾊﾟﾝﾂ　ｱｸﾁｨﾌﾞ　for men,ﾌﾞﾗｯｸ    LL,1003,1,1003
260,強　ミヤリサン錠,90錠,650,1,650
415,クールスロート,6ml,433,1,433
269,クールワン　去たんソフトカプセル,24カプセル,598,1,598
72,クエン酸,100g,310,3,930
94,グリセリン,100ml,160,2,320
97,グリセリンカリ液,100ml,185,3,555
609,グルコレスキュー,25gx5,280,2,560
450,黒豆茶,60g,220,1,220
327,ケアリーブ　Ｌ16,16枚,215,2,430
360,ケアリーブ　円型,16枚,215,3,645
361,ケアリーブ　かかと用,12枚,215,2,430
359,ケアリーブ　ジャンボ,5枚,215,2,430
358,ケアリーブ　ビッグ,7枚,215,2,430
362,ケアリーブ　フリーサイズ,2枚,271,2,542
386,ケアリーブ　指先用,10枚,215,2,430
366,ケアリーブ３サイズ,20枚,215,3,645
367,ケアリーブＬＬ,9枚,215,3,645
325,ケアリーブ　Ｍ,21mmx70mm 20枚,203,2,406
365,ケアリーブＳ,30枚,215,2,430
471,携帯おにぎり　昆布,42g,160,3,480
472,携帯おにぎり　鮭,42g,160,3,480
476,携帯おにぎり　わかめ,42g,160,2,320
404,化粧用水,500ｍｌ,88,1,88
603,減塩いつものおみそ汁赤だし,8ｇ,70,3,210
600,減塩いつものおみそ汁なす,9ｇ,70,3,210
602,減塩いつものおみそ汁なめこ,8ｇ,70,2,140
601,減塩いつものおみそ汁野菜,10.1ｇ,70,2,140
369,減塩ポタージュ,8袋,336,5,1680
352,抗菌綿棒Ａ,200本ｘ2,110,4,440
188,口内清潔ウェットシート,21枚,240,1,240
183,口内清潔ウェットシートボトルタイプ,100枚,520,1,520
617,ごくごく飲める毎日一杯の青汁,350g,90,10,900
66,コサジンガーグル,120ml,314,2,628
620,子供用マスク,12.5cmx8.5cm,13,28,364
391,ｺﾊﾟﾄｰﾝﾊﾟｰﾌｪｸﾄＵＶｶｯﾄｽﾌﾟﾚｰ,50g,630,2,1260
567,ごぼう茶,15g,220,1,220
121,ｺﾗｰｼﾞｭDﾒﾃﾞｨﾊﾟﾜｰ,150ml,1960,1,1960
256,ｺﾗｰｼﾞｭﾌﾙﾌﾙﾈｸｽﾄｼｬﾝﾌﾟｰ　ｳﾙｵｲﾅﾒﾗｶ,200ml,1152,1,1152
122,ｺﾗｰｼﾞｭ　ﾌﾙﾌﾙﾈｸｽﾄ ﾘﾝｽ　うるおいなめらかﾀｲﾌﾟ,200ml,1152,2,2304
126,ｺﾗｰｼﾞｭﾌﾙﾌﾙリキッドソープ,250ml,1597,1,1597
129,ｺﾗｰｼﾞﾌﾙﾌﾙﾘｷｯﾄﾞｿｰﾌﾟ　詰替え,200ml,1055,1,1055
146,コリホグス錠,16錠,597,1,597
204,コルゲンコーワＩＢ錠ＴＸα,27錠,816,2,1632
43,コロスキン,11ml,430,1,430
246,コンタック鼻炎Ｚ,10錠,987,1,987
14,サージカルテープ　25,12巻,129,4,516
15,サージカルテープ　18,18巻,92.6,10,926
418,サイレンＱ,10ml,294,1,294
280,サクロメシュＤＸ　Ｓ,1個,1016,1,1016
282,サクロメッシュＤＸ　Ｌ,1個,1016,1,1016
281,サクロメッシュＤＸ　Ｍ,1個,1016,1,1016
148,サクロン錠,40錠,637,1,637
614,さばで健康しょうゆ味,90ｇ,148,2,296
613,さばで健康みそ味,90ｇ,148,2,296
258,サヤカ　くろず飴,65g,137,5,685
539,サラヤンジェルSH1　60ml,60ml,164,1,164
111,ｻﾙﾊﾞ　やわ楽パンツ　お試しパック　L,L-LL,116,3,348
110,ｻﾙﾊﾞ　やわ楽パンツ　お試しパック　M,M-L,116,6,696
189,サルバ　ケアシーツ使い捨てタイプ,6枚,650,2,1300
347,サルバ清拭剤,300ml,553,1,553
335,三角巾,1枚,260,3,780
592,3層式プリーツマスク,50枚,625,18,11250
591,3層不織布マスク,30枚,400,11,4400
40,サンテ抗菌新目薬,12ml,457,1,457
565,シナモン茶,36g,220,2,440
464,充実野菜,200ml,70,11,770
209,消エタスプレー・Ｐ,100ml,290,6,1740
353,消毒もできる液体ばんそうこう,5g,275,2,550
107,消毒用エタノール,100ml,230,1,230
292,小児用バファリンチュアブル,12錠,445,1,445
172,新Ｖロート,13ml,464,1,464
268,新コンタックせき止めダブルジゾク,12カプセル,930,1,930
429,信州安曇野自然の恵み,500mL,60,25,1500
17,伸縮ホータイ,10巻,127,2,254
345,伸縮包帯Ｌ,65mmx4m,169,1,169
346,伸縮包帯ＬＬ,75mmx3.8m,169,1,169
344,伸縮包帯Ｍ,50mmx5m,169,1,169
351,伸縮包帯Ｓ,40mmx6m,169,1,169
554,新ぬくぬく当番ミニ　貼らない,10個,192,5,960
555,新ぬくぬく当番ミニ　貼る,10個,192,3,576
277,新ポリグリップ　無添加,40g,530,1,530
278,新ポリグリップＳ,40g,530,1,530
261,新ミヤリサンアイジ整腸薬　,40g,828,1,828
516,スクラートG,6包,547,2,1094
98,スクワラン,30ml,570,3,1710
21,ステラーゼ　S,12枚,200,3,600
20,ステラーゼ　М,10枚,200,3,600
19,ステラーゼ　L,8枚,200,3,600
576,スピールTM抗菌パッド,9枚,226,2,452
575,スピールTMテープ,16枚,116,2,232
169,スピール膏,3枚,470,3,1410
171,スマイル40プレミアム,15ml,791,1,791
414,スミスリンＬシャンプー,80ml,1687,1,1687
37,セイロガン糖衣A,36錠,517,1,517
293,セデスＶ,10錠,243,1,243
149,セルベール整胃錠,21錠,618,1,618
546,ソイジョイ　アーモンドチョコ,25g,84,2,168
547,ソイジョイ　アップル,25g,84,3,252
545,ソイジョイ　ミックスベリー,25g,84,3,252
605,ソイジョイクリスピーバナナ,1本,84,2,168
606,ソイジョイブルーベリー,1本,84,3,252
90,ソフトサンティア,5mlｘ4,394,1,394
426,大吟醸　あま酒,190,84,14,1176
315,タイヨー鼻炎スプレーＡＧ,30ml,420,2,840
179,タケダ漢方便秘薬,65錠,897,1,897
99,出し入れしやすいおくすりケース(M) ﾋﾟﾝｸ,M,150,3,450
446,出し入れしやすいおくすりケースM　オレンジ,M,150,3,450
448,出し入れしやすいおくすりケースM　グリーン,M,150,2,300
445,出し入れしやすいおくすりケースS  オレンジ,S,130,1,130
336,脱脂綿,50g,137,2,274
62,炭酸水素ナトリウム,500g,130,1,130
208,炭酸水素ナトリウム　（重曹）,500g,180,1,180
157,チョコラＢＢプラス,60錠,870,1,870
177,ツムラ漢方葛根湯エキス顆粒Ａ,2.5gx8包,600,1,600
181,ツムラ漢方芍薬甘草湯エキス顆粒,1.875gx20包,1440,1,1440
178,ツムラ漢方小青竜湯エキス顆粒,2.25gx8包,750,1,750
385,ツムラ桔梗湯,1.875g×8包,385,1,385
465,ツムラ桂枝湯,1.875gx20包,1440,1,1440
180,ツムラ麦門冬湯エキス顆粒,2.25gx8包,750,1,750
466,ツムラ麻黄湯,1.875gx8包,385,1,385
130,手首式血圧計　UB-510　,1,3980,1,3980
558,でこピッと　ピンク,1,3176,1,3176
559,でこピッと　ブルー,1,3176,1,3176
524,手帳カバー1,1,40,22,880
525,手帳カバー2,1,136,46,6256
165,テラ・コートリル軟膏,6g,650,1,650
552,電子体温計　BT-470,1,1359,3,4077
570,電子体温計　C207,ET-C207S,2300,5,11500
417,デンタルクリーム,4g,466,1,466
419,デンタルピルクリーム,5g,705,1,705
176,デントヘルスＲ,10g,324,1,324
457,糖質を抑えたようかん　黒糖,27g,112,5,560
455,糖質を抑えたようかん　こし餡,27ｇ,112,3,336
456,糖質を抑えたようかん　はちみつ,27g,112,6,672
490,ドクターズチョコレートダーク,30g,410,4,1640
489,ドクターズチョコレートミルク,30g,410,2,820
117,トランスポアサージカルテーププラスティック（半透明）,12.5mmx9.1m,225,2,450
39,トラベルミンファミリー,6錠,504,1,504
119,トランスポアサージカルテーププラスティック（半透明）,25mmx9.1m,284,1,284
517,トロミアップパーフェクト,200g,1108,1,1108
458,トロミアップパーフェクト,3gx25本,507,1,507
89,生しぼり しょうが入り甘酒,12袋,600,2,1200
88,生しぼり　しょうが湯,20袋,500,2,1000
287,ナロン顆粒,12包,700,1,700
625,にゅうめん　すまし柚子,13g,154,2,308
627,にゅうめん　とろみ醬油,14g,154,1,154
626,にゅうめん　まろやか鶏だし,15g,154,1,154
597,にゅうめん減塩すまし柚子,12.9ｇ,154,1,154
330,ネットホータイ　足首ひざ,1,293,2,586
332,ネットホータイ　頭太もも,0.9m,284,1,284
331,ネットホータイ　手先ひじ,1.2m,284,1,284
588,ネピアウェットプラスキッズP　ノンアルコール,10枚,61,2,122
572,のどぬ～るぬれマスク,3セット,260,8,2080
339,のびない包帯Ｓ,35mmx4.5m,85,1,85
341,のびない包帯Ｌ　,56mmx4.5m,124,1,124
342,のびない包帯ＬＬ,70mmx4.5m,143,1,143
340,伸びない包帯Ｍ,46mmx4.5m,104,1,104
436,のびのびサロンシップＦａ,16枚,667,2,1334
291,バイエルアスピリン,10錠,292,1,292
63,白色ワセリン,50g,235,2,470
453,肌思いのウェストウォーマー,1,390,1,390
452,肌思いの手首・足首ウォーマー,1,325,2,650
451,肌思いのネックウォーマー,1,390,2,780
454,肌思いのレッグウォーマー,1,325,2,650
71,ハッカ油,20ml,395,2,790
566,はとむぎ茶,60g,220,2,440
286,バファリンプレミアム,20錠,589,1,589
427,歯ブラシ　大人用,1,82,13,1066
428,歯ブラシ　子供用,1個,95,6,570
374,バンドエイドキズパワーパッド大きめ,6枚,499,2,998
378,バンドエイドキズパワーパッド靴ずれ用,6枚,499,2,998
376,バンドエイドキズパワーパッドジャンボ,3枚,573,2,1146
375,バンドエイドキズパワーパッドスポット,10枚,499,2,998
380,バンドエイドキズパワーパッドトライアルパック,3枚,182,2,364
377,バンドエイドキズパワーパッドひじひざ用,3枚,573,2,1146
51,バンドエイドキズパワーパッドふつう,10枚,499,2,998
379,バンドエイドキズパワーパッド水仕事用,10枚,499,2,998
373,バンドエイドキズパワーパッド指用,6枚,499,2,998
487,ハンドベールしっとりなめらかクリーム,70g,334,2,668
488,ハンドベール手荒れキメ整うクリーム,70g,402,1,402
416,パンパス軟膏,15g,764,1,764
549,Ｐ－チェック・Ｓ,1,250,1,250
560,ヒアレインＳ,5mlx2本,1249,1,1249
593,ヒアレインS,5mL,696,1,696
55,冷えピタ　大人用,16,289,1,289
56,冷えピタ　子供用,12枚,289,2,578
619,ビオレU全身すっきりシート,10枚,210,8,1680
589,ビオレU手指の消毒液,30ｍｌ,203,1,203
158,ビタミンＣタケダ,100錠,1094,1,1094
509,ビフィズス菌末BB536,60g,3243,2,6486
556,フィッティ７ＤＡＹＳマスク　7枚,7枚,166,16,2656
561,フィッティ７ＤＡＹＳマスク　7枚　やや小さめ,7枚,166,25,4150
162,フェミニーナ,6錠,1960,1,1960
608,フェミニーナ軟膏S,15ｇ,544,1,544
46,袋オブラートKOKKO,50枚,175,3,525
482,不織布エコバック,37x34cm,153,29,4437
10,フタアミンクリーム　130,130g,1320,8,10560
11,フタアミンクリーム　55,55g,660,9,5940
12,フタアミンハイローション,120ml,1800,6,10800
167,ブテナロックＶａ液,18ml,1567,2,3134
191,プラスチックグローブ　パウダーフリーＭ,100枚,950,1,950
192,プラスチックグローブ　パウダーフリーＳ,100枚,950,2,1900
629,ブルーベリーミックス,200ml,70,5,350
85,フルコートF,5g,679,1,679
571,ペラックT錠,18錠,720,2,1440
174,ベンザ鼻炎スプレー,14ml,610,1,610
241,ベンザブロックＳ,18カプレット,840,1,840
155,ベンザブロック　せき止め錠,36ﾀﾌﾞﾚｯﾄ,930,1,930
255,ベンザブロックＬ,30錠,1482,2,2964
64,ホウ酸,3g×12包,111,1,111
410,防水フィルムフリーカットＬ,100mmx1m,360,2,720
409,防水フィルムフリーカットＭ,50mmx2m,360,2,720
408,防水ワンタッチパッドＬ,4枚,325,2,650
407,防水ワンタッチパッドＭ,5枚,325,3,975
406,防水ワンタッチパッドＳ,6枚,228,13,2964
127,ポカリスエット　イオンウォーター　パウダー,43.2g,152,1,152
630,ポカリスエットアイススラリー,100ｇ,135,12,1620
300,保湿シームレスサポーター　足首,1,359,1,359
295,保湿シームレスサポーター　肩,1,1016,1,1016
303,保湿シームレスサポーター　すね・ひざＳ,1,299,1,299
297,保湿シームレスサポーター　手首,1,299,1,299
298,保湿シームレスサポーター　手のひら,1,323,2,646
302,保湿シームレスサポーター　ひざＭ,1,323,1,323
299,保湿シームレスサポーター　ひざロング,1,478,1,478
296,保湿シームレスサポーター　ひじ,1,299,1,299
301,保湿シームレスサポーター　もも・ひざＬ,1,359,1,359
433,ボラギノールＡ注入軟膏,2gx10個,1122,2,2244
34,ボラギノールA軟膏,20g,872,1,872
633,ボラギノールM軟膏,20ｇ,685,1,685
279,ポリデント　酵素入,48錠,539,1,539
115,マイクロポアサージカルテープ　不織布（白）12.5,12.5mmx9.1m,189,1,189
304,マイクロポアサージカルテープ　フショクフ（シロ）25ｍｍ,25mmx9.1m,284,1,284
116,マイクロポアスキントーンサージカルテープ不織布BE,12.5mmx9.1m,261,1,261
316,マイサイズ　親子丼,150g,92,2,184
318,マイサイズ　蟹のあんかけ丼,150g,92,3,276
534,マイサイズ　ソイミートハッシュドビーフ,140g,123,3,369
306,マイサイズ　中華丼,150g,92,1,92
442,マイサイズ　麻婆丼辛口,120g,92,3,276
199,マイサイズいいねプラスタンパク　そぼろ親子丼,140g,146,1,146
137,マイサイズ　欧風カレー150ｇ,150g,92,2,184
610,マイティアアルピタットNEXα,15ｍL,1157,1,1157
616,毎日１杯の青汁まろやか豆乳ミックス,200ml,70,5,350
47,マキロンS,30ml,250,1,250
550,マジックハンドクリーム,40g,566,3,1698
93,マヌカハニーUMF10＋,250g,3120,1,3120
92,マヌカハニーロゼンジUMF10＋,6粒,650,10,6500
434,ママはぐ　日焼け止めミルク,28g,390,1,390
118,マルチポア高通気性撥水テープEX　伸縮性綿布（LB)　25,25mmx2m,326,1,326
628,ミルク生活　スティック,20gx10本,980,1,980
164,ムヒＡＺ錠,12錠,700,1,700
631,ムヒアルファEXクリーム,15ｇ,742,1,742
53,ムヒS,18g,340,2,680
622,メイバランスミニカップ　白桃ヨーグルト味,125ml,160,4,640
495,メイバランスミニカップ　抹茶味,125ml,160,1,160
25,滅菌パッド　M,8枚,228,1,228
26,滅菌パッド　L,5枚,228,2,456
529,滅菌メトル3号,22.5cmx30cm,22,35,770
527,メディほいっぷ,500ml,533,1,533
249,メンソレータム,75g,502,2,1004
57,もっちり麦,420g,295,1,295
618,ももの葉ローション,180ｍL,450,3,1350
114,やさしくはがせるシリコーンテープ　不織布（LB)19,19ｍｍｘ5ｍ,389,1,389
197,山田養蜂場　トリプルプロポリスノドアメ,64g,260,2,520
333,油紙,2枚,98,1,98
220,羅漢果のど飴,60g,152,8,1216
31,羅漢果のど飴  きんかん味,60g,160,9,1440
250,らくらく点眼3,1個,560,1,560
3,らくらく服用ゼリースティックタイプ,25ｇ×6,216,1,216
168,ラミシールプラスクリーム,10g,1246,1,1246
634,リシーナ軟膏,15ｇ,698,1,698
485,リフレ超うす安心パッド男性用,22個,603,1,603
83,リポビタンD,100ml,110,4,440
573,龍角散ダイレクト　ピーチ,16包,436,7,3052
574,龍角散ダイレクト　ミント,16包,436,8,3488
184,龍角散ダイレクトトローチ マンゴー,20錠,341,3,1023
329,リント布,１枚,234,1,234
568,ルイボス茶,36g,220,2,440
289,ルミフェン,6錠,515,1,515
44,ロートドライエイドA,10ml,779,1,779
33,ロキソニンS,12錠,436,2,872
438,ワセリンＨＧピュアリップ 3g,3g,180,1,180
76,ワセリンHGチューブ,60g,300,7,2100
77,ワセリンHGピュアリップ 10g,10g,240,1,240
511,ワンショットプラスEL,160枚,613,2,1226
512,ワンショットプラスP　EL-2,100包,444,1,444
22,ワンタッチパッド　S,12枚,228,2,456
23,ワンタッチパッド　M,6枚,325,3,975
24,ワンタッチパッド　L,4枚,325,6,1950
