id,名前,規格,入値,在庫数,小計
123,ｺﾗｰｼﾞｭ　ﾌﾙﾌﾙﾈｸｽﾄｼｬﾝﾌﾟｰ すっきりさらさらﾀｲﾌﾟ,200ml,1152,1,1152
122,ｺﾗｰｼﾞｭ　ﾌﾙﾌﾙﾈｸｽﾄ ﾘﾝｽ　うるおいなめらかﾀｲﾌﾟ,200ml,1152,2,2304
328,ｺﾗｰｼﾞｭﾌﾙﾌﾙﾈｸｽﾄﾘﾝｽ　すっきりさらさらﾀｲﾌﾟ,200ml,1152,1,1152
126,ｺﾗｰｼﾞｭﾌﾙﾌﾙリキッドソープ,250ml,1597,1,1597
129,ｺﾗｰｼﾞﾌﾙﾌﾙﾘｷｯﾄﾞｿｰﾌﾟ　詰替え,200ml,1055,1,1055
146,コリホグス錠,16錠,597,1,597
204,コルゲンコーワＩＢ錠ＴＸα,27錠,816,1,816
43,コロスキン,11ml,430,2,860
14,サージカルテープ　25,12巻,129,12,1548
15,サージカルテープ　18,18巻,92.6,19,1759.3999999999999
418,サイレンＱ,10ml,294,1,294
262,サクロメッシュ　ＤＸ (LL),LL,1016,1,1016
282,サクロメッシュＤＸ　Ｌ,1個,1016,1,1016
281,サクロメッシュＤＸ　Ｍ,1個,1016,1,1016
148,サクロン錠,40錠,637,1,637
108,ｻﾔｶ　ﾐﾈﾗﾙ　塩飴,60g,152.2,8,1217.6
258,サヤカ　くろず飴,65g,136.8,5,684
111,ｻﾙﾊﾞ　やわ楽パンツ　お試しパック　L,L-LL,116,3,348
110,ｻﾙﾊﾞ　やわ楽パンツ　お試しパック　M,M-L,116,2,232
189,サルバ　ケアシーツ使い捨てタイプ,6枚,650,1,650
347,サルバ清拭剤,300ml,553,1,553
335,三角巾,1枚,260,2,520
40,サンテ抗菌新目薬,12ml,457,1,457
68,次亜塩素酸ナトリウム,350ml,1080,1,1080
239,Jマスク,50枚,279,1,279
510,シッカロールデオ　,140g,390,1,390
565,シナモン茶,36g,220,1,220
464,充実野菜,200ml,70,4,280
642,重曹ちゃん,500ｇ,162,1,162
209,消エタスプレー・Ｐ,100ml,290,1,290
353,消毒もできる液体ばんそうこう,5g,275,2,550
107,消毒用エタノール,100ml,230,1,230
292,小児用バファリンチュアブル,12錠,445,2,890
685,食物繊維入り紅茶,30包,1218,1,1218
686,食物繊維入り緑茶,30包,1218,1,1218
716,新ウナコーワクール,30ml,293,2,586
268,新コンタックせき止めダブルジゾク,12カプセル,930,1,930
17,伸縮ホータイ,10巻,88.3,10,883
345,伸縮包帯Ｌ,65mmx4m,169,1,169
344,伸縮包帯Ｍ,50mmx5m,169,1,169
351,伸縮包帯Ｓ,40mmx6m,169,1,169
343,伸縮包帯ＳＳ,25mmx4.5m,169,1,169
553,新ぬくぬく当番,10個,229,3,687
554,新ぬくぬく当番ミニ　貼らない,10個,192,1,192
277,新ポリグリップ　無添加,40g,530,1,530
278,新ポリグリップＳ,40g,530,1,530
261,新ミヤリサンアイジ整腸薬　,40g,828,1,828
516,スクラートG,6包,547,1,547
98,スクワラン,30ml,570,2,1140
21,ステラーゼ　S,12枚,200,2,400
20,ステラーゼ　М,10枚,200,3,600
19,ステラーゼ　L,8枚,200,2,400
690,ステラーゼ滅菌済,7.5cmx7.5cm,21,20,420
38,ストッパ下痢止めEX,12錠,577,1,577
576,スピールTM抗菌パッド,9枚,226,3,678
575,スピールTMテープ,16枚,116,2,232
169,スピール膏,3枚,470,2,940
653,スマイル40EXゴールドクール,13ｍL,390,2,780
654,スマイル40EXゴールドクールMAX,13ｍL,390,1,390
652,スマイル40EXゴールドマイルド,13ｍL,390,1,390
669,スミガキ,100ｇ,264,1,264
414,スミスリンＬシャンプー,80ml,1687,1,1687
441,3Aマグネシア,90錠,660,1,660
37,セイロガン糖衣A,36錠,517,1,517
149,セルベール整胃錠,21錠,618,1,618
90,ソフトサンティア,5mlｘ4,394,1,394
426,大吟醸　あま酒,190,84,5,420
285,タイレノール　Ａ,10錠,461,1,461
695,タイレノールＡ,20錠,720,2,1440
179,タケダ漢方便秘薬,65錠,897,1,897
99,出し入れしやすいおくすりケース(M) ﾋﾟﾝｸ,M,150,3,450
446,出し入れしやすいおくすりケースM　オレンジ,M,150,3,450
448,出し入れしやすいおくすりケースM　グリーン,M,150,2,300
336,脱脂綿,50g,137,1,137
696,チクナインａ,14包,1215,1,1215
157,チョコラＢＢプラス,60錠,870,1,870
181,ツムラ漢方芍薬甘草湯エキス顆粒,1.875gx20包,1440,1,1440
178,ツムラ漢方小青竜湯エキス顆粒,2.25gx8包,750,1,750
385,ツムラ桔梗湯,1.875g×8包,385,1,385
465,ツムラ桂枝湯,1.875gx20包,1440,1,1440
180,ツムラ麦門冬湯エキス顆粒,2.25gx8包,750,1,750
466,ツムラ麻黄湯,1.875gx8包,385,1,385
558,でこピッと　ピンク,1,3176,1,3176
524,手帳カバー1,1,40,11,440
525,手帳カバー2,1,136,45,6120
182,手ピカジェル,300ml,571,1,571
165,テラ・コートリル軟膏,6g,650,1,650
166,テラマイシン軟膏,6g,371,1,371
570,電子体温計　C207,ET-C207S,2300,1,2300
417,デンタルクリーム,4g,466,1,466
419,デンタルピルクリーム,5g,705,1,705
176,デントヘルスＲ,10g,324,1,324
674,透明尿器　女性,1000cc,768,1,768
117,トランスポアサージカルテーププラスティック（半透明）,12.5mmx9.1m,225,1,225
666,富山かがやき天然水,500ｍL,72,32,2304
39,トラベルミンファミリー,6錠,504,1,504
119,トランスポアサージカルテーププラスティック（半透明）,25mmx9.1m,284,2,568
670,ドリエル,6錠,650,1,650
458,トロミアップパーフェクト,3gx25本,507,1,507
713,ナイトミン鼻呼吸テープ,21枚,518,10,5180
287,ナロン顆粒,12包,700,1,700
625,にゅうめん　すまし柚子,13g,154,2,308
627,にゅうめん　とろみ醬油,14g,154,2,308
626,にゅうめん　まろやか鶏だし,15g,154,4,616
330,ネットホータイ　足首ひざ,1,293,1,293
332,ネットホータイ　頭太もも,0.9m,284,1,284
331,ネットホータイ　手先ひじ,1.2m,284,1,284
588,ネピアウェットプラスキッズP　ノンアルコール,10枚,61,35,2135
572,のどぬ～るぬれマスク,3セット,260,1,260
339,のびない包帯Ｓ,35mmx4.5m,85,1,85
341,のびない包帯Ｌ　,56mmx4.5m,124,1,124
342,のびない包帯ＬＬ,70mmx4.5m,143,1,143
340,伸びない包帯Ｍ,46mmx4.5m,104,1,104
436,のびのびサロンシップＦａ,16枚,667,1,667
677,のびのびサロンシップフィット温感,16枚,675,1,675
676,のびのびサロンシップフィット冷感,20枚,618,1,618
291,バイエルアスピリン,10錠,292,1,292
717,ハイドロパッド,25mm×58mm　5枚,300,2,600
63,白色ワセリン,50g,235,1,235
453,肌思いのウェストウォーマー,1,390,1,390
452,肌思いの手首・足首ウォーマー,1,325,2,650
451,肌思いのネックウォーマー,1,390,2,780
454,肌思いのレッグウォーマー,1,325,2,650
699,バップフォーレディ,7錠,1599,1,1599
566,はとむぎ茶,60g,220,2,440
702,鼻ぽん小ちゃん,30個,211,2,422
701,鼻ぽん大ちゃん　,30個,211,1,211
427,歯ブラシ　大人用,1,82,62,5084
428,歯ブラシ　子供用,1個,95,4,380
374,バンドエイドキズパワーパッド大きめ,6枚,499,2,998
378,バンドエイドキズパワーパッド靴ずれ用,6枚,499,2,998
376,バンドエイドキズパワーパッドジャンボ,3枚,573,2,1146
375,バンドエイドキズパワーパッドスポット,10枚,499,2,998
380,バンドエイドキズパワーパッドトライアルパック,3枚,182,1,182
377,バンドエイドキズパワーパッドひじひざ用,3枚,573,2,1146
51,バンドエイドキズパワーパッドふつう,10枚,499,2,998
379,バンドエイドキズパワーパッド水仕事用,10枚,499,2,998
373,バンドエイドキズパワーパッド指用,6枚,499,2,998
487,ハンドベールしっとりなめらかクリーム,70g,334,1,334
488,ハンドベール手荒れキメ整うクリーム,70g,402,1,402
416,パンパス軟膏,15g,764,1,764
549,Ｐ－チェック・Ｓ,1,250,1,250
593,ヒアレインS,5mL,696,2,1392
56,冷えピタ　子供用,12枚,289,2,578
619,ビオレU全身すっきりシート,10枚,210,3,630
589,ビオレU手指の消毒液,30ｍｌ,203,2,406
710,ビスコ　大豆,24枚,192,7,1344
158,ビタミンＣタケダ,100錠,1061,1,1061
648,ビタミンフルーツりんご100％,200mi,70,5,350
509,ビフィズス菌末BB536,60g,3243,2,6486
556,フィッティ７ＤＡＹＳマスク　7枚,7枚,110,9,990
561,フィッティ７ＤＡＹＳマスク　7枚　やや小さめ,7枚,125,9,1125
162,フェミニーナ,6錠,1960,1,1960
608,フェミニーナ軟膏S,15ｇ,544,1,544
661,フェルゼアDX20ローション,180g,1005,3,3015
662,フェルゼアHA20クリーム,80g,666,1,666
665,フェルゼアＰＨＰクリーム,30g,869,2,1738
664,フェルゼアPＨＰバーム,10g,666,2,1332
663,フェルゼアP薬用泡の化粧水,80ｇ,1140,2,2280
46,袋オブラートKOKKO,50枚,175,1,175
482,不織布エコバック,37x34cm,153,12,1836
10,フタアミンクリーム　130,130g,1320,3,3960
11,フタアミンクリーム　55,55g,660,11,7260
12,フタアミンハイローション,120ml,1800,4,7200
167,ブテナロックＶａ液,18ml,1567,1,1567
190,プラスチックグローブ　パウダーフリーＬ,100枚,600,1,600
191,プラスチックグローブ　パウダーフリーＭ,100枚,884,1,884
192,プラスチックグローブ　パウダーフリーＳ,100枚,614,1,614
629,ブルーベリーミックス,200ml,70,10,700
85,フルコートF,5g,679,1,679
671,ブレスラボマルチケアマイルドミント,90ｇ,704,1,704
672,ブレスラボマルチ＋歯周ケアマイルドミント,90ｇ,784,1,784
571,ペラックT錠,18錠,720,2,1440
174,ベンザ鼻炎スプレー,14ml,610,1,610
241,ベンザブロックＳ,18カプレット,840,1,840
155,ベンザブロック　せき止め錠,36ﾀﾌﾞﾚｯﾄ,930,1,930
255,ベンザブロックＬ,30錠,1482,1,1482
64,ホウ酸,3g×12包,111,1,111
410,防水フィルムフリーカットＬ,100mmx1m,360,2,720
409,防水フィルムフリーカットＭ,50mmx2m,360,2,720
408,防水ワンタッチパッドＬ,4枚,325,6,1950
407,防水ワンタッチパッドＭ,5枚,325,6,1950
406,防水ワンタッチパッドＳ,6枚,228,13,2964
300,保湿シームレスサポーター　足首,1,359,2,718
295,保湿シームレスサポーター　肩,1,1016,1,1016
303,保湿シームレスサポーター　すね・ひざＳ,1,299,1,299
297,保湿シームレスサポーター　手首,1,299,1,299
298,保湿シームレスサポーター　手のひら,1,323,1,323
302,保湿シームレスサポーター　ひざＭ,1,323,1,323
299,保湿シームレスサポーター　ひざロング,1,478,1,478
296,保湿シームレスサポーター　ひじ,1,299,1,299
301,保湿シームレスサポーター　もも・ひざＬ,1,359,1,359
433,ボラギノールＡ注入軟膏,2gx10個,1122,1,1122
34,ボラギノールA軟膏,20g,872,1,872
279,ポリデント　酵素入,48錠,539,1,539
304,マイクロポアサージカルテープ　フショクフ（シロ）25ｍｍ,25mmx9.1m,284,2,568
116,マイクロポアスキントーンサージカルテープ不織布BE,12.5mmx9.1m,261,1,261
305,マイクロポアスキントーンサージカルテープ　フショクフ,25mmx9.1m,347,1,347
316,マイサイズ　親子丼,150g,113,2,226
318,マイサイズ　蟹のあんかけ丼,150g,113,1,113
306,マイサイズ　中華丼,150g,113,2,226
201,マイサイズ　ハヤシ,150g,113,1,113
442,マイサイズ　麻婆丼辛口,120g,113,2,226
610,マイティアアルピタットNEXα,15ｍL,1157,1,1157
616,毎日１杯の青汁まろやか豆乳ミックス,200ml,70,5,350
47,マキロンS,30ml,250,2,500
550,マジックハンドクリーム,40g,566,2,1132
643,マスキュア,8ｇ,511,1,511
251,抹茶　くず湯,18gx12袋,600,1,600
649,マヌカハニーUMF10＋120ｇ,120g,1755,1,1755
434,ママはぐ　日焼け止めミルク,28g,390,1,390
118,マルチポア高通気性撥水テープEX　伸縮性綿布（LB)　25,25mmx2m,326,1,326
681,マンナンGO,50ml,96,6,576
628,ミルク生活　スティック,20gx10本,980,1,980
164,ムヒＡＺ錠,12錠,700,1,700
631,ムヒアルファEXクリーム,15ｇ,742,1,742
53,ムヒS,18g,340,1,340
635,メイバランスアルギニン　ミックスベリー味,125ｍL,170,2,340
497,メイバランスミニカップ　コーヒー味,125ml,160,2,320
494,メイバランスミニカップ　バナナ味,125ml,160,1,160
495,メイバランスミニカップ　抹茶味,125ml,160,2,320
496,メイバランスミニカップ　ヨーグルト味,125ml,160,1,160
682,メガネクリーナーふきふき,20包,235,2,470
684,メガネクリーナーふきふきくもり止めプラス,20包,221,2,442
541,めぐりズム　ゆず,12枚,729,1,729
25,滅菌パッド　M,8枚,228,2,456
26,滅菌パッド　L,5枚,228,4,912
527,メディほいっぷ,500ml,533,1,533
249,メンソレータム,75g,502,1,502
637,モイスキンパッドS,８枚,650,1,650
639,モイスキンパッドL,5枚,650,1,650
640,モイスキンパッドLL,4枚,650,1,650
688,もっちり五穀　,240g,388,1,388
57,もっちり麦,420g,350,1,350
114,やさしくはがせるシリコーンテープ　不織布（LB)19,25ｍｍｘ5ｍ,522,2,1044
197,山田養蜂場　トリプルプロポリスノドアメ,64g,260,3,780
698,ユースキンクリーム40ｇミッフィー,40ｇ,301,1,301
697,ユースキンクリーム80ｇ,80ｇ,505,2,1010
333,油紙,2枚,98,1,98
679,指キャップ,3本,169,2,338
704,養命酒クロモジのど飴黒蜜ｘハーブ,76g,193,6,1158
703,養命酒クロモジのど飴生姜はちみつ,76g,193,6,1158
103,養命酒製造の黒酢,360ml,977.6,1,977.6
220,羅漢果のど飴,60g,152,2,304
250,らくらく点眼3,1個,560,1,560
168,ラミシールプラスクリーム,10g,1246,1,1246
634,リシーナ軟膏,15ｇ,698,1,698
668,リフレ超うす安心パッド男性用80㏄,22枚,552,1,552
83,リポビタンD,100ml,100,8,800
573,龍角散ダイレクト　ピーチ,16包,436,2,872
574,龍角散ダイレクト　ミント,16包,436,1,436
184,龍角散ダイレクトトローチ マンゴー,20錠,341,2,682
645,リンデロンVｓクリーム,5ｇ,694,1,694
644,リンデロンVｓ軟膏,5ｇ,694,1,694
329,リント布,１枚,234,1,234
568,ルイボス茶,36g,220,2,440
289,ルミフェン,6錠,566,1,566
694,ロート抗菌目薬ⅰ,20本,441,1,441
44,ロートドライエイドA,10ml,779,1,779
438,ワセリンＨＧピュアリップ 3g,3g,180,2,360
76,ワセリンHGチューブ,60g,300,5,1500
675,ワンショットプラスP　EL-2,60包,313,1,313
22,ワンタッチパッド　S,12枚,228,4,912
23,ワンタッチパッド　M,6枚,325,3,975
24,ワンタッチパッド　L,4枚,325,4,1300
